id_pdv;id_sku;fecha_min;fecha_max;anio_semana_min;anio_semana_max;count_nonzero;sum_cantidad;fecha;anio_semana;cantidad;cantidad_neta;cantidad_bruta;venta;venta_neta;venta_bruta;volumen_neto;volumen_bruto;precio
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;03/12/2021;202148;0;0;0;0.0;-189.9;0.0;0.0;0.0;0.0
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;06/12/2021;202149;12;12;12;533.04;533.04;533.04;3.0;3.0;44.42
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;07/12/2021;202149;0;0;0;0.0;-119.93;0.0;0.0;0.0;0.0
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;09/12/2021;202149;9;9;9;399.78;399.78;399.78;2.25;2.25;44.42
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;10/12/2021;202149;0;0;0;0.0;-89.95;0.0;0.0;0.0;0.0
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;13/12/2021;202150;44;44;44;1954.48;1954.48;1954.48;11.0;11.0;44.42
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;14/12/2021;202150;0;0;0;0.0;-439.76;0.0;0.0;0.0;0.0
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;16/12/2021;202150;2;2;2;88.84;88.84;88.84;0.5;0.5;44.42
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;17/12/2021;202150;0;0;0;0.0;-19.99;0.0;0.0;0.0;0.0
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;20/12/2021;202151;78;78;78;3464.76;3464.76;3464.76;19.5;19.5;44.42
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;21/12/2021;202151;0;0;0;0.0;-779.57;0.0;0.0;0.0;0.0
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;27/12/2021;202152;32;32;32;1421.44;1421.44;1421.44;8.0;8.0;44.42
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;28/12/2021;202152;0;0;0;0.0;-319.82;0.0;0.0;0.0;0.0
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;30/12/2021;202152;74;74;74;3287.08;3287.08;3287.08;18.5;18.5;44.42
323606;116;30/09/2021;20/11/2025;202139;202547;314;6983;31/12/2021;202152;0;0;0;0.0;-739.59;0.0;0.0;0.0;0.0
