id_pdv;id_sku;fecha_min;fecha_max;anio_semana_min;anio_semana_max;count_nonzero;sum_cantidad;fecha;anio_semana;cantidad;cantidad_neta;cantidad_bruta;venta;venta_neta;venta_bruta;volumen_neto;volumen_bruto;precio
7536772;975;01/10/2021;01/10/2021;202139;202139;1;3;01/10/2021;202139;3;3;3;54.90;54.90;54.90;0.798;0.798;18.30
7601762;294;02/10/2021;02/10/2021;202139;202139;1;5;02/10/2021;202139;5;5;5;227.50;227.50;227.50;2.500;2.500;45.50
7601762;384;02/10/2021;02/10/2021;202139;202139;1;10;02/10/2021;202139;10;10;10;572.90;572.90;572.90;4.500;4.500;57.29
7601762;2741;02/10/2021;02/10/2021;202139;202139;1;15;02/10/2021;202139;15;15;15;630.00;630.00;630.00;3.750;3.750;42.00
7607823;294;30/09/2021;30/09/2021;202139;202139;1;2;30/09/2021;202139;2;2;2;91.00;91.00;91.00;1.000;1.000;45.50
7607823;975;30/09/2021;30/09/2021;202139;202139;1;10;30/09/2021;202139;10;10;10;235.20;235.20;235.20;2.660;2.660;23.52
7607823;4464;30/09/2021;30/09/2021;202139;202139;1;2;30/09/2021;202139;2;2;2;92.60;92.60;92.60;0.864;0.864;46.30
7611588;4464;01/10/2021;01/10/2021;202139;202139;0;0;01/10/2021;202139;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
7622444;294;02/10/2021;02/10/2021;202139;202139;1;4;02/10/2021;202139;4;4;4;204.40;204.40;204.40;2.000;2.000;51.10
7626826;294;30/09/2021;01/10/2021;202139;202139;1;3;30/09/2021;202139;3;3;3;136.50;136.50;136.50;1.500;1.500;45.50
7626826;294;30/09/2021;01/10/2021;202139;202139;1;3;01/10/2021;202139;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
7626826;384;30/09/2021;07/10/2021;202139;202140;2;22;30/09/2021;202139;12;12;12;687.48;687.48;687.48;5.400;5.400;57.29
7626826;975;30/09/2021;30/09/2021;202139;202139;1;10;30/09/2021;202139;10;10;10;235.20;235.20;235.20;2.660;2.660;23.52
7637410;975;30/09/2021;30/09/2021;202139;202139;1;2;30/09/2021;202139;2;2;2;36.60;36.60;36.60;0.532;0.532;18.30
7637411;294;02/10/2021;02/10/2021;202139;202139;1;3;02/10/2021;202139;3;3;3;141.30;141.30;141.30;1.500;1.500;47.10
7644299;294;01/10/2021;01/10/2021;202139;202139;1;4;01/10/2021;202139;4;4;4;204.40;204.40;204.40;2.000;2.000;51.10
7647424;4464;02/10/2021;02/10/2021;202139;202139;1;2;02/10/2021;202139;2;2;2;100.00;100.00;100.00;0.864;0.864;50.00
7671588;294;30/09/2021;30/09/2021;202139;202139;1;2;30/09/2021;202139;2;2;2;94.20;94.20;94.20;1.000;1.000;47.10
7699415;384;30/09/2021;07/10/2021;202139;202140;3;36;30/09/2021;202139;26;26;26;1297.40;1297.40;1297.40;11.700;11.700;49.90
7699415;975;30/09/2021;30/09/2021;202139;202139;1;25;30/09/2021;202139;25;25;25;434.75;434.75;434.75;6.650;6.650;17.39
7710456;294;02/10/2021;02/10/2021;202139;202139;1;6;02/10/2021;202139;6;6;6;300.60;300.60;300.60;3.000;3.000;50.10
7710626;294;30/09/2021;30/09/2021;202139;202139;1;2;30/09/2021;202139;2;2;2;94.20;94.20;94.20;1.000;1.000;47.10
7719599;384;30/09/2021;07/10/2021;202139;202140;3;47;30/09/2021;202139;11;11;11;548.90;548.90;548.90;4.950;4.950;49.90
7719599;975;30/09/2021;30/09/2021;202139;202139;1;25;30/09/2021;202139;25;25;25;434.75;434.75;434.75;6.650;6.650;17.39
7722201;294;01/10/2021;01/10/2021;202139;202139;1;2;01/10/2021;202139;2;2;2;102.20;102.20;102.20;1.000;1.000;51.10
7736472;975;02/10/2021;02/10/2021;202139;202139;1;2;02/10/2021;202139;2;2;2;36.60;36.60;36.60;0.532;0.532;18.30
7743605;975;30/09/2021;30/09/2021;202139;202139;1;159;30/09/2021;202139;159;159;159;2765.01;2765.01;2765.01;42.294;42.294;17.39
7749386;294;01/10/2021;01/10/2021;202139;202139;1;2;01/10/2021;202139;2;2;2;94.20;94.20;94.20;1.000;1.000;47.10
7753562;294;30/09/2021;30/09/2021;202139;202139;1;20;30/09/2021;202139;20;20;20;910.00;910.00;910.00;10.000;10.000;45.50
7753562;384;30/09/2021;07/10/2021;202139;202140;2;15;30/09/2021;202139;5;5;5;286.45;286.45;286.45;2.250;2.250;57.29
7753562;2741;30/09/2021;07/10/2021;202139;202140;2;28;30/09/2021;202139;16;16;16;672.00;672.00;672.00;4.000;4.000;42.00
7753562;4464;30/09/2021;30/09/2021;202139;202139;1;14;30/09/2021;202139;14;14;14;648.20;648.20;648.20;6.048;6.048;46.30
7766385;294;01/10/2021;01/10/2021;202139;202139;1;4;01/10/2021;202139;4;4;4;188.40;188.40;188.40;2.000;2.000;47.10
7766385;975;01/10/2021;01/10/2021;202139;202139;1;4;01/10/2021;202139;4;4;4;73.20;73.20;73.20;1.064;1.064;18.30
7790237;975;02/10/2021;02/10/2021;202139;202139;1;2;02/10/2021;202139;2;2;2;36.60;36.60;36.60;0.532;0.532;18.30
7799572;294;02/10/2021;02/10/2021;202139;202139;1;6;02/10/2021;202139;6;6;6;282.60;282.60;282.60;3.000;3.000;47.10
7799573;294;02/10/2021;02/10/2021;202139;202139;1;8;02/10/2021;202139;8;8;8;376.80;376.80;376.80;4.000;4.000;47.10
7823134;294;01/10/2021;01/10/2021;202139;202139;1;6;01/10/2021;202139;6;6;6;300.60;300.60;300.60;3.000;3.000;50.10
7823284;294;01/10/2021;01/10/2021;202139;202139;1;7;01/10/2021;202139;7;7;7;350.70;350.70;350.70;3.500;3.500;50.10
7827741;384;02/10/2021;09/10/2021;202139;202140;2;4;02/10/2021;202139;2;2;2;114.58;114.58;114.58;0.900;0.900;57.29
7827741;975;02/10/2021;02/10/2021;202139;202139;1;5;02/10/2021;202139;5;5;5;117.60;117.60;117.60;1.330;1.330;23.52
7827741;4464;02/10/2021;02/10/2021;202139;202139;1;1;02/10/2021;202139;1;1;1;46.30;46.30;46.30;0.432;0.432;46.30
323606;294;30/09/2021;08/10/2021;202139;202140;3;148;04/10/2021;202140;23;23;23;1011.77;1011.77;1011.77;11.500;11.500;43.99
323606;294;30/09/2021;08/10/2021;202139;202140;3;148;05/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;294;30/09/2021;08/10/2021;202139;202140;3;148;07/10/2021;202140;79;79;79;3475.21;3475.21;3475.21;39.500;39.500;43.99
323606;294;30/09/2021;08/10/2021;202139;202140;3;148;08/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
